DATE,TICKER,RET,EuropePresence,PostGDPR,Interaction
15/12/2016,PRGS,0.000319,1,1,1
16/12/2016,PRGS,-0.001593,1,1,1
19/12/2016,PRGS,0.01564,1,1,1
20/12/2016,PRGS,0.009428,1,1,1
21/12/2016,PRGS,0.005604,1,1,1
22/12/2016,PRGS,-0.010217,1,1,1
23/12/2016,PRGS,0.00563,1,1,1
27/12/2016,PRGS,0.007465,1,1,1
28/12/2016,PRGS,-0.008027,1,1,1
29/12/2016,PRGS,0.004668,1,1,1
30/12/2016,PRGS,-0.010843,1,1,1
03/01/2017,PRGS,0.003758,1,1,1
04/01/2017,PRGS,0.002808,1,1,1
05/01/2017,PRGS,-0.014312,1,1,1
06/01/2017,PRGS,-0.004735,1,1,1
09/01/2017,PRGS,-0.007612,1,1,1
10/01/2017,PRGS,0.000959,1,1,1
11/01/2017,PRGS,0.013091,1,1,1
12/01/2017,PRGS,-0.001891,1,1,1
13/01/2017,PRGS,0.018314,1,1,1
17/01/2017,PRGS,-0.143256,1,1,1
18/01/2017,PRGS,0.015925,1,1,1
19/01/2017,PRGS,-0.001781,1,1,1
20/01/2017,PRGS,0.00571,1,1,1
23/01/2017,PRGS,0.010646,1,1,1
24/01/2017,PRGS,0.00948,1,1,1
25/01/2017,PRGS,0.004522,1,1,1
26/01/2017,PRGS,-0.01108,1,1,1
27/01/2017,PRGS,-0.003851,1,1,1
30/01/2017,PRGS,-0.018981,1,1,1
31/01/2017,PRGS,0.003941,1,1,1
01/02/2017,PRGS,-0.008565,1,1,1
02/02/2017,PRGS,-0.00324,1,1,1
03/02/2017,PRGS,0.007584,1,1,1
06/02/2017,PRGS,0.002867,1,1,1
07/02/2017,PRGS,-0.002144,1,1,1
08/02/2017,PRGS,0.008954,1,1,1
09/02/2017,PRGS,0.015619,1,1,1
10/02/2017,PRGS,0.006991,1,1,1
13/02/2017,PRGS,0.003471,1,1,1
14/02/2017,PRGS,-0.005534,1,1,1
15/02/2017,PRGS,0.003826,1,1,1
16/02/2017,PRGS,0.009355,1,1,1
17/02/2017,PRGS,0.004119,1,1,1
21/02/2017,PRGS,0.005812,1,1,1
22/02/2017,PRGS,-0.014616,1,1,1
23/02/2017,PRGS,-0.000345,1,1,1
